FilterType,lf,queryTime,n,iteration
Bloom,0.000000,4.620800,1000000.000000,1
Bloom,0.000000,3.891600,1000000.000000,2
Bloom,0.000000,3.812500,1000000.000000,3
Bloom,0.000000,3.779200,1000000.000000,4
Bloom,0.000000,3.720800,1000000.000000,5
Bloom,0.000000,3.820800,1000000.000000,6
Bloom,0.000000,3.758400,1000000.000000,7
Bloom,0.000000,3.808300,1000000.000000,8
Bloom,0.000000,3.787500,1000000.000000,9
Bloom,0.000000,3.883300,1000000.000000,10
Bloom,0.250000,8.233300,1000000.000000,1
Bloom,0.250000,8.300000,1000000.000000,2
Bloom,0.250000,7.575000,1000000.000000,3
Bloom,0.250000,7.991700,1000000.000000,4
Bloom,0.250000,7.862500,1000000.000000,5
Bloom,0.250000,7.462500,1000000.000000,6
Bloom,0.250000,7.500000,1000000.000000,7
Bloom,0.250000,7.537500,1000000.000000,8
Bloom,0.250000,7.954200,1000000.000000,9
Bloom,0.250000,7.579100,1000000.000000,10
Bloom,0.500000,14.233300,1000000.000000,1
Bloom,0.500000,17.433300,1000000.000000,2
Bloom,0.500000,14.025000,1000000.000000,3
Bloom,0.500000,13.591600,1000000.000000,4
Bloom,0.500000,14.379200,1000000.000000,5
Bloom,0.500000,14.570800,1000000.000000,6
Bloom,0.500000,13.541700,1000000.000000,7
Bloom,0.500000,15.004100,1000000.000000,8
Bloom,0.500000,14.516700,1000000.000000,9
Bloom,0.500000,13.845800,1000000.000000,10
Bloom,0.750000,21.725000,1000000.000000,1
Bloom,0.750000,21.904200,1000000.000000,2
Bloom,0.750000,20.987500,1000000.000000,3
Bloom,0.750000,24.020800,1000000.000000,4
Bloom,0.750000,21.591600,1000000.000000,5
Bloom,0.750000,21.191700,1000000.000000,6
Bloom,0.750000,20.141700,1000000.000000,7
Bloom,0.750000,25.445800,1000000.000000,8
Bloom,0.750000,21.516600,1000000.000000,9
Bloom,0.750000,21.387500,1000000.000000,10
Bloom,1.000000,25.187500,1000000.000000,1
Bloom,1.000000,35.720800,1000000.000000,2
Bloom,1.000000,26.391700,1000000.000000,3
Bloom,1.000000,26.600000,1000000.000000,4
Bloom,1.000000,29.616700,1000000.000000,5
Bloom,1.000000,25.233300,1000000.000000,6
Bloom,1.000000,26.583300,1000000.000000,7
Bloom,1.000000,26.408400,1000000.000000,8
Bloom,1.000000,26.720800,1000000.000000,9
Bloom,1.000000,25.300000,1000000.000000,10
