FilterType,n,fpr,bpi,iteration
Bloom,1000000.000000,0.000100,19.170176,-1
Cuckoo,1000000.000000,0.000100,18.085106,-1
Lower Bound,1000000.000000,0.000100,13.287712,-1
Bloom,1000000.000000,0.001000,14.377600,-1
Cuckoo,1000000.000000,0.001000,13.829787,-1
Lower Bound,1000000.000000,0.001000,9.965784,-1
Bloom,1000000.000000,0.010000,9.585088,-1
Cuckoo,1000000.000000,0.010000,10.638298,-1
Lower Bound,1000000.000000,0.010000,6.643856,-1
Bloom,1000000.000000,0.100000,4.792576,-1
Cuckoo,1000000.000000,0.100000,7.446809,-1
Lower Bound,1000000.000000,0.100000,3.321928,-1
